lineID,line
LN010100,으으... 바람 때문에 털이 엉망이 됐어.
,바람산은 이름만 바람산이 아니구나…
,그래도 도착했어. 여기가 바람의 유적이야.
,틀림없어. 알비 박사님이 직접 그리신 지도니까.
,저기 안쪽에 박사님들이 잡혀계실거야.
,나쁜 우루스 단 녀석들. 박사님들을 데려다가 무슨 짓을 하려는걸까…
,더 깊은 곳으로 들어가기 전에 뭐 궁금한 것 있어?
LN010199,나는 아직 정식 연구원은 아니지만. 아는 만큼은 대답해줄게.
LN010101,이 곳 바람의 유적에 대해 알려줘.
LN010102,납치당한 주민들에 대해 알려줘.
LN010103,내 임무에 대해 다시 알려줘.
LN010105,궁금한 것이 없어.
LN010106,바람의 유적은 고대 신족이 남긴 다섯 개의 유적지들 중 하나야.
,전설로 전해지는 다섯 개의 아티팩트들이 잠들어있다고 알려진 곳이지.
,믿겨져? 우리는 지금 전설을 두 눈으로 직접 보고있는 거야.
,솔직히 말해서. 나도 두 눈으로 보는건 처음이야.
,…왜 그렇게 봐? 나는 아직 조수란 말야. 마을 밖도 이번이 처음이고.
,후우… 하필이면 이렇게 암울할 때에 찾아오게 되서 너무 아쉬워.
LN010107,모두 우리 고대 신족 연구소의 박사님들이야…
,우리 연구소는 유적이 처음 발견된 뒤로 유적과 아티팩트에 대한 전설을 연구하고 있어.
,유적에서 발굴해낸 고대 문헌들을 해독하고. 아티팩트에 담긴 비밀을 연구하고 있지.
,그리고 연구소장이신 알비 박사님은 이 연구의 중심이야.
,최초의 유적 탐사에 나섰던 탐험가들 중 한 분이시기도 해.
,나? 나는 그 때 박사님 심부름 중이었어…
,그런데 다녀와보니 박사님들은 물론 연구 중이던 천둥의 망치까지 빼앗겼어.
,아마도 박사님들을 데리고 전설 속 아티팩트들을 손에 넣으려는게 목적이겠지.
,그렇게 내버려둬서는 절대로 안돼!
LN010108,응. 네 임무를 다시 정리해줄게.
,첫째. 납치된 박사님들을 구출해야 해.
,박사님들이 연구 중이신 내용들은 세상을 바꿀 수도 있어.
