lineID,dialogueType,charName,charPortrait,line,nextLine
LN010100,0,미오,mio,으으... 바람 때문에 털이 엉망이 됐어.,LN010101
LN010101,0,미오,mio,바람산은 이름만 바람산이 아니구나…,LN010102
LN010102,0,미오,mio,그래도 도착했어. 여기가 바람의 유적이야.,LN010103
LN010103,0,미오,mio,틀림없어. 알비 박사님이 직접 그리신 지도니까.,LN010104
LN010104,0,미오,mio,저기 안쪽에 박사님들이 잡혀계실거야.,LN010105
LN010105,0,미오,mio,나쁜 우루스 단 녀석들… 우리가 구해드려야 해!,finish
LN010106,0,미오,mio,더 깊은 곳으로 들어가기 전에 뭐 궁금한 것 있어?,LN010107
LN010107,0,미오,mio,나는 아직 정식 연구원은 아니지만. 아는 만큼은 대답해줄게.,answer1
answer1,1,플레이어,player,이 곳 바람의 유적에 대해 알려줘.,LN010108
answer1,1,플레이어,player,납치당한 주민들에 대해 알려줘.,LN010115
answer1,1,플레이어,player,내 임무에 대해 다시 알려줘.,LN010125
answer1,1,플레이어,player,궁금한 것이 없어.,LN010139
LN010108,0,미오,mio,바람의 유적은 고대 신족이 남긴 다섯 개의 유적지들 중 하나야.,LN010109
LN010109,0,미오,mio,전설로 전해지는 다섯 개의 아티팩트들이 잠들어있다고 알려진 곳이지.,LN010110
LN010110,0,미오,mio,믿겨져? 우리는 지금 전설을 마주하고 있는거야.,LN010111
LN010111,0,미오,mio,솔직히 말해서. 나도 두 눈으로 직접 보는건 처음이야.,LN010112
LN010112,0,미오,mio,…왜 그렇게 봐? 나는 아직 조수란 말야. 마을 밖도 이번이 처음이고.,LN010113
LN010113,0,미오,mio,후우… 하필이면 이렇게 암울할 때에 찾아오게 되서 너무 아쉬워.,LN010114
LN010114,0,미오,mio,혹시 더 궁금한 점이 있어?,answer1
LN010115,0,미오,mio,모두 우리 고대 신족 연구소의 박사님들이야…,LN010116
LN010116,0,미오,mio,우리 연구소는 유적이 처음 발견된 뒤로 유적과 아티팩트에 대한 전설을 연구하고 있어.,LN010117
LN010117,0,미오,mio,유적에서 발굴해낸 고대 문헌들을 해독하고. 아티팩트에 담긴 비밀을 연구하고 있지.,LN010118
LN010118,0,미오,mio,나? 나는 그 때 박사님 심부름 중이었어… 그래서 잠시 족장님 댁에 다녀오는 길이었는데…,LN010119
LN010119,0,미오,mio,그런데 다녀와보니 박사님들은 물론 연구 중이던 천둥의 망치까지 빼앗겼어.,LN010120
LN010120,0,미오,mio,아마도 박사님들을 데리고 전설 속 아티팩트들을 손에 넣으려는게 목적이겠지.,LN010121
LN010121,0,미오,mio,그 중에서도 연구소장이신 알비 박사님은 이 연구의 중심이야.,LN010122
LN010122,0,미오,mio,박사님이 알고 계신 지식들이 놈들의 손에 넘어가버리면...,LN010123
LN010123,0,미오,mio,그렇게 내버려둬서는 절대로 안돼!,LN010124
LN010124,0,미오,mio,혹시 더 궁금한 점이 있어?,answer1
LN010125,0,미오,mio,응. 네 임무를 다시 정리해줄게.,LN010126
LN010126,0,미오,mio,첫째. 납치된 박사님들을 구출해야 해.,LN010127
LN010127,0,미오,mio,박사님들이 연구 중이신 내용들은 세상을 바꿀 수도 있어.,LN010128
LN010128,0,미오,mio,그게 하필 나쁜 녀석들 손아귀에 들어갔으니… 우리가 빨리 구해드려야 해.,LN010129
LN010129,0,미오,mio,둘째. 우루스 단 녀석들보다 먼저 아티팩트를 찾아서 안전한 곳으로 옮겨야 해.,LN010130
LN010130,0,미오,mio,우루스 단 녀석들이 박사님들을 납치한 이유는 불 보듯 뻔해.,LN010131
LN010131,0,미오,mio,녀석들은 아티팩트 5개를 모두 모아 전설 속 신족들의 힘을 손에 넣으려는거야.,LN010132
LN010132,0,미오,mio,그렇게 되었다가는… 아르테는 녀석들의 것이 되겠지.,LN010133
LN010133,0,미오,mio,우리가 먼저 아티팩트를 찾아서 녀석들이 찾지 못할 다른 곳으로 옮겨야 해.,LN010134
LN010134,0,미오,mio,쉽지 않은 임무가 될 거야… 위험한 일도 많을 거고.,LN010135
LN010135,0,미오,mio,그래도 지금 우리를 도울 수 있는 건 너밖에 없어.,LN010136
LN010136,0,미오,mio,나는… 너처럼 용감하지도. 박사님들처럼 똑똑하지도 않아…,LN010137
LN010137,0,미오,mio,그러니 부탁이야! 우리를 도와줘!,LN010138
LN010138,0,미오,mio,혹시 더 궁금한 점이 있어?,answer1
LN010139,0,미오,mio,응. 알았어.,LN010140
LN010140,0,미오,mio,이제 나는 다시 마을로 돌아가봐야 해.,LN010141
LN010141,0,미오,mio,엉망이 된 연구소 정리도 해야하고. 혹시 도움이 될 기록이 있는지 살펴보려고 해.,LN010142
LN010142,0,미오,mio,나도 무언가 도움이 되어야하지 않겠어?,LN010143
LN010143,0,미오,mio,그러면 다시 한 번 잘 부탁해!,finish
LN020100,0,연구원 A,scholarA,에잇. 더는 몰라! 모른다니까!,LN020101
LN020101,0,연구원 A,scholarA,네 놈들이 내 입을 열려면… 으응…?,LN020102
LN020102,0,연구원 A,scholarA,너… 너는… 누구니?,answer2
answer2,1,플레이어,player,구하러 왔어요.,LN020103
answer2,1,플레이어,player,다치신 곳은 없으세요?,LN020104
LN020103,0,연구원 A,scholarA,아…! 정말 우리를 구하러 온 건가?,LN020105
LN020104,0,연구원 A,scholarA,몸은 멀쩡해… 옷은 좀 더러워졌지만.,LN020105
LN020105,0,연구원 A,scholarA,아무튼 정말 고맙구나. 이 곳에서 꼼짝없이 죽는 줄 알았단다.,LN020106
LN020106,0,연구원 A,scholarA,그나저나 믿을 수 없군…,LN020107
LN020107,0,연구원 A,scholarA,너처럼 작은 친구가 이런 위험천만한 일에 나서다니.,LN020108
LN020108,0,연구원 A,scholarA,정말 용감하구나. 우리 미오와 좋은 친구가 되겠어.,LN020109
LN020109,0,연구원 A,scholarA,그보다 네가 꼭 알아야 하는 이야기들이 있단다.,LN020110
LN020110,0,연구원 A,scholarA,우리가 무사히 돌아가는 것보다도 더 중요한 일이야.,LN020111
LN020111,0,연구원 A,scholarA,그러니까... 어디서부터 알려줘야 할지…,answer3
answer3,1,플레이어,player,우루스 단에 대해 알려주세요.,LN020112
